State,FIPSCode,StateAbbr,StateName,StateName09028,Division,Region,OfficersAssaulted,NbrOfOfficers,PopulationThousands,Firearm,KnifeCutting,Other,Personal,RegionAssaultsPer100,DivisionAssaultsPer100,RegionAssaults,DivisionAssaults
IL,17,IL,ILLINOIS,ILL,East North Central,Midwest,NA,NA,12419,NA,NA,NA,NA,8.5,7.2,7303,4359
IN,18,IN,INDIANA,IND,East North Central,Midwest,1243,6598,3742,49,11,62,1121,8.5,7.2,7303,4359
MI,26,MI,MICHIGAN,MICH,East North Central,Midwest,389,17995,9272,27,9,47,306,8.5,7.2,7303,4359
OH,39,OH,OHIO,OHIO,East North Central,Midwest,2133,12731,6189,60,20,196,1857,8.5,7.2,7303,4359
WI,55,WI,WISCONSIN,WIS,East North Central,Midwest,594,11241,5364,7,6,31,550,8.5,7.2,7303,4359
IA,19,IA,IOWA,IOWA,West North Central,Midwest,499,4275,2840,6,17,69,407,8.5,11.4,7303,2944
KS,20,KS,KANSAS,KANS,West North Central,Midwest,NA,NA,2688,NA,NA,NA,NA,8.5,11.4,7303,2944
MN,27,MN,MINNESOTA,MINN,West North Central,Midwest,141,7684,4562,5,2,10,124,8.5,11.4,7303,2944
MO,29,MO,MISSOURI,MO,West North Central,Midwest,2090,9057,4148,112,28,244,1706,8.5,11.4,7303,2944
NE,31,NE,NEBRASKA,NEBR,West North Central,Midwest,168,2756,1409,2,3,27,136,8.5,11.4,7303,2944
ND,38,ND,NORTH DAKOTA,N DAK,West North Central,Midwest,5,798,520,0,0,0,5,8.5,11.4,7303,2944
SD,46,SD,SOUTH DAKOTA,S DAK,West North Central,Midwest,41,682,453,0,1,3,37,8.5,11.4,7303,2944
NJ,34,NJ,NEW JERSEY,N J,Middle Atlantic,Northeast,3402,21469,7177,49,39,443,2871,8.3,7.8,9112,6745
NY,36,NY,NEW YORK,N Y,Middle Atlantic,Northeast,1601,56430,13600,16,18,90,1477,8.3,7.8,9112,6745
PA,42,PA,PENNSYLVANIA,PA,Middle Atlantic,Northeast,1742,15249,6374,87,30,120,1505,8.3,7.8,9112,6745
CT,9,CT,CONNECTICUT,CONN,New England,Northeast,704,7367,2641,10,15,71,608,8.3,10,9112,2367
ME,23,ME,MAINE,MAINE,New England,Northeast,276,913,682,2,3,8,263,8.3,10,9112,2367
MA,25,MA,MASSACHUSETTS,MASS,New England,Northeast,825,11675,4962,0,13,81,731,8.3,10,9112,2367
NH,33,NH,NEW HAMPSHIRE,N H,New England,Northeast,NA,767,419,NA,NA,NA,NA,8.3,10,9112,2367
RI,44,RI,RHODE ISLAND,R I,New England,Northeast,562,1370,583,3,10,29,520,8.3,10,9112,2367
